k_x	k_y	k_z	k_A	k_B	k_C	damp_t	damp_r	success	partialSuccess	
257.0	77.0	466.0	9.0	168.0	41.0	0.9	0.9	false	true
240.0	80.0	369.0	9.0	138.0	81.0	0.2	0.2	false	true
126.0	193.0	325.0	8.0	189.0	150.0	0.1	0.5	false	true
108.0	65.0	332.0	6.0	119.0	97.0	0.1	0.8	false	true
237.0	89.0	690.0	5.0	151.0	169.0	0.7	0.1	true	true
206.0	204.0	488.0	6.0	190.0	134.0	0.6	0.5	false	true
282.0	227.0	482.0	8.0	123.0	146.0	0.4	0.8	false	true
145.0	166.0	367.0	9.0	119.0	200.0	0.9	0.3	false	true
290.0	207.0	614.0	10.0	102.0	176.0	0.8	0.7	true	true
267.0	263.0	680.0	5.0	152.0	111.0	0.9	0.9	false	true
222.0	128.0	404.0	35.0	5.0	5.0	0.3	0.1	false	false
127.0	199.0	402.0	62.0	8.0	9.0	0.3	0.6	false	false
163.0	290.0	594.0	40.0	10.0	10.0	0.1	0.9	false	false
173.0	56.0	511.0	54.0	9.0	6.0	0.5	0.3	false	false
275.0	227.0	367.0	27.0	7.0	7.0	0.4	0.5	false	false
214.0	127.0	468.0	79.0	5.0	10.0	0.4	0.8	false	false
281.0	296.0	534.0	15.0	6.0	9.0	0.9	0.3	false	false
238.0	233.0	531.0	25.0	9.0	5.0	0.9	0.6	false	false
133.0	127.0	383.0	24.0	9.0	5.0	0.8	0.8	false	false
100.0	178.0	555.0	15.0	8.0	49.0	0.1	0.3	false	false
155.0	62.0	661.0	33.0	6.0	56.0	0.1	0.6	false	false
141.0	167.0	340.0	52.0	5.0	74.0	0.3	0.9	false	false
75.0	201.0	465.0	55.0	7.0	21.0	0.4	0.1	false	false
59.0	246.0	525.0	30.0	7.0	30.0	0.6	0.7	false	false
262.0	155.0	528.0	48.0	10.0	46.0	0.4	0.9	false	false
138.0	253.0	312.0	53.0	10.0	19.0	0.8	0.2	false	false
276.0	274.0	573.0	22.0	6.0	34.0	0.9	0.6	false	false
256.0	119.0	467.0	42.0	9.0	41.0	0.8	0.9	false	false
98.0	204.0	346.0	64.0	6.0	199.0	0.1	0.2	false	false
221.0	271.0	515.0	46.0	6.0	92.0	0.2	0.5	false	false
269.0	288.0	401.0	57.0	7.0	95.0	0.2	0.9	false	false
294.0	120.0	613.0	18.0	10.0	186.0	0.5	0.3	false	false
240.0	185.0	647.0	23.0	10.0	155.0	0.5	0.6	false	false
87.0	133.0	425.0	35.0	7.0	176.0	0.6	0.9	false	false
197.0	153.0	673.0	47.0	9.0	100.0	0.8	0.3	false	false
250.0	116.0	423.0	17.0	5.0	186.0	0.8	0.7	false	false
189.0	111.0	529.0	65.0	7.0	142.0	0.8	0.9	false	false
277.0	247.0	650.0	46.0	30.0	9.0	0.2	0.1	false	false
190.0	199.0	462.0	26.0	47.0	6.0	0.2	0.6	false	false
182.0	196.0	669.0	69.0	70.0	6.0	0.3	0.9	false	false
